CHARACTER_PK,MAGIC_ID,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,57695,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,48624,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,49585,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,50546,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,80142,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,75297,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,76258,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,77219,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,53181,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,90834,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,91795,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,92756,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,13516,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,93667,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,94628,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,95589,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,63851,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,19204,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,20165,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,21126,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,36890,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,22037,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,22998,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,23959,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,87225,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,37574,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,38535,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77211,39496,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77212,57726,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77212,48655,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
77212,49616,step03,2026-07-15T22:18:57.105,step05,2026-07-15T22:18:58.892
