CHARACTER_PK,MAGIC_TYPE_MASTERY,MASTERY,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,0,1,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77212,1,2,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77213,2,3,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77214,3,4,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77242,4,5,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77243,5,6,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77244,6,7,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77245,7,8,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77273,8,9,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77274,1,10,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77275,2,1,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77276,3,2,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77304,4,3,step03,2026-07-15T22:18:57.003,step05,2026-07-15T22:18:58.892
77305,5,4,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77306,6,5,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77307,7,6,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77335,8,7,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77336,1,8,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77337,2,9,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77338,3,10,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77366,4,1,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77367,5,2,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77368,6,3,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77369,7,4,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77397,8,5,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77398,1,6,step03,2026-07-15T22:18:57.003,step07,2026-07-15T22:19:00.590
77399,2,7,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77400,3,8,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77428,4,9,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77429,5,10,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77430,6,1,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77431,7,2,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77459,8,3,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77460,1,4,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77461,2,5,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
77462,3,6,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
78141,4,7,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
78142,5,8,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
78143,6,9,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
78144,7,10,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
9401,1,1,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
9402,2,1,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
9403,3,1,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
9404,4,1,step03,2026-07-15T22:18:57.003,step03,2026-07-15T22:18:57.003
