CHARACTER_PK,USER_ID,CHARACTER_NO,CHARACTER_NAME,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,U0001,1,CHAR0001-1,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77212,U0001,2,CHAR0001-2,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77213,U0001,3,CHAR0001-3,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77214,U0001,4,CHAR0001-4,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77242,U0002,1,CHAR0002-1,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77243,U0002,2,CHAR0002-2,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77244,U0002,3,CHAR0002-3,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77245,U0002,4,CHAR0002-4,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77273,U0003,1,CHAR0003-1,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77274,U0003,2,CHAR0003-2,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77275,U0003,3,CHAR0003-3,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77276,U0003,4,CHAR0003-4,step03,2026-07-15T22:18:56.466,step05,2026-07-15T22:18:58.892
77304,U0004,1,CHAR0004-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77305,U0004,2,CHAR0004-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77306,U0004,3,CHAR0004-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77307,U0004,4,CHAR0004-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77335,U0005,1,CHAR0005-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77336,U0005,2,CHAR0005-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77337,U0005,3,CHAR0005-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77338,U0005,4,CHAR0005-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77366,U0006,1,CHAR0006-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77367,U0006,2,CHAR0006-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77368,U0006,3,CHAR0006-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77369,U0006,4,CHAR0006-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77397,U0007,1,CHAR0007-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77398,U0007,2,CHAR0007-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77399,U0007,3,CHAR0007-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77400,U0007,4,CHAR0007-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77428,U0008,1,CHAR0008-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77429,U0008,2,CHAR0008-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77430,U0008,3,CHAR0008-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77431,U0008,4,CHAR0008-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77459,U0009,1,CHAR0009-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77460,U0009,2,CHAR0009-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77461,U0009,3,CHAR0009-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
77462,U0009,4,CHAR0009-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
78141,U0010,1,CHAR0010-1,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
78142,U0010,2,CHAR0010-2,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
78143,U0010,3,CHAR0010-3,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
78144,U0010,4,CHAR0010-4,step03,2026-07-15T22:18:56.466,step03,2026-07-15T22:18:56.466
