CHARACTER_PK,WEAPON_TYPE_ID,MASTERY,CREATE_METHOD,CREATE_DATETIME,UPDATE_METHOD,UPDATE_DATETIME
77211,0,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77212,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77213,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77214,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77242,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77243,5,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77244,6,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77245,7,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77273,8,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77274,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77275,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77276,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77304,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77305,5,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77306,6,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77307,7,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77335,8,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77336,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77337,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77338,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77366,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77367,5,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77368,6,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77369,7,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77397,8,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77398,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77399,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77400,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77428,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77429,5,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77430,6,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77431,7,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77459,8,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77460,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77461,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
77462,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78141,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78142,5,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78143,6,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
78144,7,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9301,1,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9302,2,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9303,3,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
9304,4,1,ANDROID_TEST_SEED,2026-06-28 04:08:24,ANDROID_TEST_SEED,2026-06-28 04:08:24
